#时间: 20240828 112607
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.010000
#干涉仪湿度: 55.218025
#激光波长: 790.553682
#动镜速度: 10k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
6932.5272 -0.376309 
6938.6751 -0.376508 
6944.8230 -0.376715 
6950.9708 -0.377033 
6957.1187 -0.377419 
6963.2665 -0.377705 
6969.4144 -0.377846 
6975.5622 -0.378007 
6981.7101 -0.378364 
6987.8579 -0.378887 
6994.0058 -0.379440 
7000.1537 -0.379966 
7006.3015 -0.380411 
7012.4494 -0.380746 
7018.5972 -0.381144 
7024.7451 -0.381732 
7030.8929 -0.382242 
7037.0408 -0.382450 
7043.1887 -0.382705 
7049.3365 -0.383330 
7055.4844 -0.383860 
7061.6322 -0.383899 
7067.7801 -0.384090 
7073.9279 -0.384952 
7080.0758 -0.385682 
7086.2236 -0.385563 
7092.3715 -0.385232 
7098.5194 -0.385459 
7104.6672 -0.386066 
7110.8151 -0.386824 
7116.9629 -0.387801 
7123.1108 -0.388587 
7129.2586 -0.388665 
7135.4065 -0.388516 
7141.5543 -0.388997 
7147.7022 -0.389627 
7153.8501 -0.389570 
7159.9979 -0.389246 
7166.1458 -0.389169 
7172.2936 -0.388981 
7178.4415 -0.388919 
7184.5893 -0.389658 
7190.7372 -0.390492 
7196.8850 -0.390443 
7203.0329 -0.390070 
7209.1808 -0.390152 
7215.3286 -0.390167 
7221.4765 -0.389361 
7227.6243 -0.387963 
7233.7722 -0.387302 
7239.9200 -0.388429 
7246.0679 -0.390570 
7252.2157 -0.392137 
7258.3636 -0.392548 
7264.5115 -0.392322 
7270.6593 -0.392019 
7276.8072 -0.391616 
7282.9550 -0.391018 
7289.1029 -0.390704 
7295.2507 -0.390989 
7301.3986 -0.391160 
7307.5465 -0.390585 
7313.6943 -0.389584 
7319.8422 -0.388686 
7325.9900 -0.388291 
7332.1379 -0.388233 
7338.2857 -0.387977 
7344.4336 -0.387985 
7350.5814 -0.388740 
7356.7293 -0.389805 
7362.8772 -0.390694 
7369.0250 -0.390981 
7375.1729 -0.390788 
7381.3207 -0.391008 
7387.4686 -0.391931 
7393.6164 -0.393026 
7399.7643 -0.393904 
7405.9121 -0.394402 
7412.0600 -0.394641 
7418.2079 -0.394993 
7424.3557 -0.395458 
7430.5036 -0.395750 
7436.6514 -0.395918 
7442.7993 -0.396147 
7448.9471 -0.396402 
7455.0950 -0.396542 
7461.2428 -0.396516 
7467.3907 -0.396438 
7473.5386 -0.396442 
7479.6864 -0.396494 
7485.8343 -0.396511 
7491.9821 -0.396515 
7498.1300 -0.396555 
7504.2778 -0.396598 
7510.4257 -0.396584 
7516.5736 -0.396523 
7522.7214 -0.396475 
7528.8693 -0.396513 
7535.0171 -0.396650 
7541.1650 -0.396792 
7547.3128 -0.396852 
7553.4607 -0.396837 
7559.6085 -0.396770 
7565.7564 -0.396660 
7571.9043 -0.396551 
7578.0521 -0.396506 
7584.2000 -0.396509 
7590.3478 -0.396487 
7596.4957 -0.396459 
7602.6435 -0.396471 
7608.7914 -0.396443 
7614.9392 -0.396341 
7621.0871 -0.396255 
7627.2350 -0.396223 
7633.3828 -0.396230 
7639.5307 -0.396267 
7645.6785 -0.396295 
7651.8264 -0.396278 
7657.9742 -0.396211 
7664.1221 -0.396129 
7670.2699 -0.396116 
7676.4178 -0.396181 
7682.5657 -0.396212 
7688.7135 -0.396156 
7694.8614 -0.396071 
7701.0092 -0.396011 
7707.1571 -0.395964 
7713.3049 -0.395851 
7719.4528 -0.395621 
7725.6007 -0.395354 
7731.7485 -0.395186 
7737.8964 -0.395170 
7744.0442 -0.395254 
7750.1921 -0.395349 
7756.3399 -0.395396 
7762.4878 -0.395396 
7768.6356 -0.395363 
7774.7835 -0.395270 
7780.9314 -0.395132 
7787.0792 -0.395035 
7793.2271 -0.394965 
7799.3749 -0.394854 
7805.5228 -0.394744 
7811.6706 -0.394706 
7817.8185 -0.394725 
7823.9663 -0.394742 
7830.1142 -0.394717 
7836.2621 -0.394675 
7842.4099 -0.394645 
7848.5578 -0.394611 
7854.7056 -0.394576 
7860.8535 -0.394569 
7867.0013 -0.394572 
7873.1492 -0.394561 
7879.2970 -0.394567 
7885.4449 -0.394596 
7891.5928 -0.394589 
7897.7406 -0.394508 
7903.8885 -0.394400 
7910.0363 -0.394313 
7916.1842 -0.394246 
7922.3320 -0.394187 
7928.4799 -0.394128 
7934.6278 -0.394071 
7940.7756 -0.394036 
7946.9235 -0.394003 
7953.0713 -0.393941 
7959.2192 -0.393900 
7965.3670 -0.393911 
7971.5149 -0.393930 
7977.6627 -0.393948 
7983.8106 -0.393958 
7989.9585 -0.393872 
7996.1063 -0.393690 
8002.2542 -0.393543 
8008.4020 -0.393493 
8014.5499 -0.393480 
8020.6977 -0.393428 
8026.8456 -0.393339 
8032.9934 -0.393274 
8039.1413 -0.393243 
8045.2892 -0.393175 
8051.4370 -0.393032 
8057.5849 -0.392867 
8063.7327 -0.392730 
8069.8806 -0.392616 
8076.0284 -0.392511 
8082.1763 -0.392401 
8088.3241 -0.392298 
8094.4720 -0.392234 
8100.6199 -0.392188 
8106.7677 -0.392115 
8112.9156 -0.392017 
8119.0634 -0.391878 
8125.2113 -0.391719 
8131.3591 -0.391625 
8137.5070 -0.391573 
8143.6548 -0.391504 
8149.8027 -0.391512 
8155.9506 -0.391611 
8162.0984 -0.391623 
8168.2463 -0.391476 
8174.3941 -0.391321 
8180.5420 -0.391286 
8186.6898 -0.391302 
8192.8377 -0.391273 
8198.9856 -0.391235 
8205.1334 -0.391183 
8211.2813 -0.391046 
8217.4291 -0.390858 
8223.5770 -0.390675 
8229.7248 -0.390499 
8235.8727 -0.390354 
8242.0205 -0.390247 
8248.1684 -0.390163 
8254.3163 -0.390109 
8260.4641 -0.390070 
8266.6120 -0.390032 
8272.7598 -0.389998 
8278.9077 -0.389946 
8285.0555 -0.389870 
8291.2034 -0.389787 
8297.3512 -0.389667 
8303.4991 -0.389512 
8309.6470 -0.389398 
8315.7948 -0.389329 
8321.9427 -0.389263 
8328.0905 -0.389251 
8334.2384 -0.389322 
8340.3862 -0.389351 
8346.5341 -0.389231 
8352.6819 -0.389058 
8358.8298 -0.388980 
8364.9777 -0.388962 
8371.1255 -0.388898 
8377.2734 -0.388807 
8383.4212 -0.388745 
8389.5691 -0.388708 
8395.7169 -0.388681 
8401.8648 -0.388695 
8408.0127 -0.388786 
8414.1605 -0.388890 
8420.3084 -0.388940 
8426.4562 -0.388980 
8432.6041 -0.389049 
8438.7519 -0.389059 
8444.8998 -0.388951 
8451.0476 -0.388860 
8457.1955 -0.388914 
8463.3434 -0.388988 
8469.4912 -0.388986 
8475.6391 -0.389002 
8481.7869 -0.389049 
8487.9348 -0.389099 
8494.0826 -0.389270 
8500.2305 -0.389569 
8506.3783 -0.389826 
8512.5262 -0.389924 
8518.6741 -0.389870 
8524.8219 -0.389760 
8530.9698 -0.389710 
8537.1176 -0.389753 
8543.2655 -0.389781 
8549.4133 -0.389687 
8555.5612 -0.389555 
8561.7090 -0.389509 
8567.8569 -0.389491 
8574.0048 -0.389468 
8580.1526 -0.389553 
8586.3005 -0.389757 
8592.4483 -0.389952 
8598.5962 -0.390052 
8604.7440 -0.390092 
8610.8919 -0.390144 
8617.0398 -0.390158 
8623.1876 -0.390107 
8629.3355 -0.390130 
8635.4833 -0.390256 
8641.6312 -0.390330 
8647.7790 -0.390339 
8653.9269 -0.390389 
8660.0747 -0.390472 
8666.2226 -0.390462 
8672.3705 -0.390330 
8678.5183 -0.390181 
8684.6662 -0.390004 
8690.8140 -0.389771 
8696.9619 -0.389694 
8703.1097 -0.389827 
8709.2576 -0.389904 
8715.4054 -0.389859 
8721.5533 -0.389857 
8727.7012 -0.389928 
8733.8490 -0.390033 
8739.9969 -0.390206 
8746.1447 -0.390371 
8752.2926 -0.390360 
8758.4404 -0.390252 
8764.5883 -0.390265 
8770.7361 -0.390358 
8776.8840 -0.390394 
8783.0319 -0.390445 
8789.1797 -0.390563 
8795.3276 -0.390522 
8801.4754 -0.390094 
8807.6233 -0.389513 
8813.7711 -0.389403 
8819.9190 -0.389925 
8826.0668 -0.390524 
8832.2147 -0.390825 
8838.3626 -0.390882 
8844.5104 -0.390732 
8850.6583 -0.390439 
8856.8061 -0.390244 
8862.9540 -0.390335 
8869.1018 -0.390606 
8875.2497 -0.390722 
8881.3976 -0.390607 
8887.5454 -0.390467 
8893.6933 -0.390312 
8899.8411 -0.390094 
8905.9890 -0.389953 
8912.1368 -0.389941 
8918.2847 -0.389932 
8924.4325 -0.389895 
8930.5804 -0.389966 
8936.7283 -0.390132 
8942.8761 -0.390163 
8949.0240 -0.390057 
8955.1718 -0.390060 
8961.3197 -0.390158 
8967.4675 -0.390175 
8973.6154 -0.390167 
8979.7632 -0.390266 
8985.9111 -0.390457 
8992.0590 -0.390623 
8998.2068 -0.390677 
9004.3547 -0.390617 
9010.5025 -0.390515 
9016.6504 -0.390458 
9022.7982 -0.390429 
9028.9461 -0.390305 
9035.0939 -0.390190 
9041.2418 -0.390341 
9047.3897 -0.390639 
9053.5375 -0.390778 
9059.6854 -0.390758 
9065.8332 -0.390681 
9071.9811 -0.390564 
9078.1289 -0.390397 
9084.2768 -0.390173 
9090.4247 -0.389935 
9096.5725 -0.389738 
9102.7204 -0.389674 
9108.8682 -0.389850 
9115.0161 -0.390136 
9121.1639 -0.390223 
9127.3118 -0.390016 
9133.4596 -0.389685 
9139.6075 -0.389493 
9145.7554 -0.389592 
9151.9032 -0.389753 
9158.0511 -0.389605 
9164.1989 -0.389229 
9170.3468 -0.388999 
9176.4946 -0.388950 
9182.6425 -0.388902 
9188.7903 -0.388952 
9194.9382 -0.389218 
9201.0861 -0.389422 
9207.2339 -0.389333 
9213.3818 -0.389119 
9219.5296 -0.388937 
9225.6775 -0.388788 
9231.8253 -0.388685 
9237.9732 -0.388610 
9244.1210 -0.388558 
9250.2689 -0.388623 
9256.4168 -0.388784 
9262.5646 -0.388808 
9268.7125 -0.388575 
9274.8603 -0.388354 
9281.0082 -0.388446 
9287.1560 -0.388684 
9293.3039 -0.388781 
9299.4518 -0.388810 
9305.5996 -0.388813 
9311.7475 -0.388678 
9317.8953 -0.388500 
9324.0432 -0.388370 
9330.1910 -0.388215 
9336.3389 -0.388067 
9342.4867 -0.387987 
9348.6346 -0.387959 
9354.7825 -0.388003 
9360.9303 -0.388106 
9367.0782 -0.388149 
9373.2260 -0.388051 
9379.3739 -0.387889 
9385.5217 -0.387703 
9391.6696 -0.387418 
9397.8174 -0.387114 
9403.9653 -0.387044 
9410.1132 -0.387293 
9416.2610 -0.387622 
9422.4089 -0.387691 
9428.5567 -0.387544 
9434.7046 -0.387550 
9440.8524 -0.387676 
9447.0003 -0.387513 
9453.1481 -0.387004 
9459.2960 -0.386463 
9465.4439 -0.386185 
9471.5917 -0.386270 
9477.7396 -0.386539 
9483.8874 -0.386774 
9490.0353 -0.386917 
9496.1831 -0.386848 
9502.3310 -0.386488 
9508.4789 -0.386096 
9514.6267 -0.385986 
9520.7746 -0.386105 
9526.9224 -0.386224 
9533.0703 -0.386277 
9539.2181 -0.386215 
9545.3660 -0.385999 
9551.5138 -0.385936 
9557.6617 -0.386216 
9563.8096 -0.386491 
9569.9574 -0.386587 
9576.1053 -0.386701 
9582.2531 -0.386704 
9588.4010 -0.386339 
9594.5488 -0.385883 
9600.6967 -0.385740 
9606.8445 -0.385854 
9612.9924 -0.385909 
9619.1403 -0.385682 
9625.2881 -0.385240 
9631.4360 -0.384883 
9637.5838 -0.384749 
9643.7317 -0.384698 
9649.8795 -0.384638 
9656.0274 -0.384675 
9662.1752 -0.384858 
9668.3231 -0.384981 
9674.4710 -0.384864 
9680.6188 -0.384579 
9686.7667 -0.384265 
9692.9145 -0.383953 
9699.0624 -0.383590 
9705.2102 -0.383217 
9711.3581 -0.383004 
9717.5059 -0.383055 
9723.6538 -0.383344 
9729.8017 -0.383627 
9735.9495 -0.383568 
9742.0974 -0.383270 
9748.2452 -0.383097 
9754.3931 -0.383022 
9760.5409 -0.382833 
9766.6888 -0.382596 
9772.8367 -0.382398 
9778.9845 -0.382224 
9785.1324 -0.382184 
9791.2802 -0.382288 
9797.4281 -0.382230 
9803.5759 -0.381983 
9809.7238 -0.381969 
9815.8716 -0.382123 
9822.0195 -0.382006 
9828.1674 -0.381855 
9834.3152 -0.382050 
9840.4631 -0.382201 
9846.6109 -0.381955 
9852.7588 -0.381573 
9858.9066 -0.381275 
9865.0545 -0.381048 
9871.2023 -0.380865 
9877.3502 -0.380786 
9883.4981 -0.380935 
9889.6459 -0.381274 
9895.7938 -0.381675 
9901.9416 -0.381973 
9908.0895 -0.382004 
9914.2373 -0.381969 
9920.3852 -0.382100 
9926.5330 -0.382326 
9932.6809 -0.382527 
9938.8288 -0.382407 
9944.9766 -0.381851 
9951.1245 -0.381235 
9957.2723 -0.380672 
9963.4202 -0.380115 
9969.5680 -0.379852 
9975.7159 -0.379963 
9981.8638 -0.380144 
9988.0116 -0.381930 
