#时间: 20240902 141218
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.000000
#干涉仪湿度: 59.367676
#激光波长: 790.553151
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
9889.6459 -0.067739 
9895.7938 -0.066971 
9901.9416 -0.065549 
9908.0895 -0.063644 
9914.2373 -0.061687 
9920.3852 -0.059974 
9926.5330 -0.058522 
9932.6809 -0.056802 
9938.8288 -0.054316 
9944.9766 -0.051535 
9951.1245 -0.049477 
9957.2723 -0.048507 
9963.4202 -0.047783 
9969.5680 -0.046517 
9975.7159 -0.045380 
9981.8638 -0.044751 
9988.0116 -0.046944 
