#时间: 20240829 164945
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 32.549999
#干涉仪湿度: 53.120510
#激光波长: 790.795181
#动镜速度: 7.5k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
9637.5838 -0.257911 
9643.7317 -0.257259 
9649.8795 -0.256103 
9656.0274 -0.255059 
9662.1752 -0.254397 
9668.3231 -0.253882 
9674.4710 -0.253488 
9680.6188 -0.253388 
9686.7667 -0.253305 
9692.9145 -0.252826 
9699.0624 -0.252101 
9705.2102 -0.251362 
9711.3581 -0.250525 
9717.5059 -0.249754 
9723.6538 -0.249283 
9729.8017 -0.248776 
9735.9495 -0.247799 
9742.0974 -0.246644 
9748.2452 -0.246028 
9754.3931 -0.246054 
9760.5409 -0.246055 
9766.6888 -0.245479 
9772.8367 -0.244366 
9778.9845 -0.243161 
9785.1324 -0.242221 
9791.2802 -0.241513 
9797.4281 -0.240879 
9803.5759 -0.240173 
9809.7238 -0.239328 
9815.8716 -0.238470 
9822.0195 -0.237649 
9828.1674 -0.236919 
9834.3152 -0.236439 
9840.4631 -0.236049 
9846.6109 -0.235316 
9852.7588 -0.234193 
9858.9066 -0.233289 
9865.0545 -0.233076 
9871.2023 -0.233043 
9877.3502 -0.232496 
9883.4981 -0.231539 
9889.6459 -0.230507 
9895.7938 -0.229532 
9901.9416 -0.228854 
9908.0895 -0.228585 
9914.2373 -0.228443 
9920.3852 -0.227957 
9926.5330 -0.226865 
9932.6809 -0.225465 
9938.8288 -0.224333 
9944.9766 -0.223791 
9951.1245 -0.223740 
9957.2723 -0.223576 
9963.4202 -0.222770 
9969.5680 -0.221755 
9975.7159 -0.221238 
9981.8638 -0.221057 
9988.0116 -0.222944 
